ID,Title,Series,Year,Medium,Width,Height,Orientation,Price,Availability,Tags,Description,CoverImage,Image2,Image3,Image4,Image5
"A001","After the Rain 1","Threshold Light","2021","Oil on linen","21","25","Portrait","985","Available","architecture|memory|light|studio|threshold-light","A layered contemporary artwork from the Threshold Light series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Threshold Light/After the Rain 1/main.jpg","images/series/Threshold Light/After the Rain 1/detail1.jpg","images/series/Threshold Light/After the Rain 1/detail2.jpg","images/series/Threshold Light/After the Rain 1/detail3.jpg","images/series/Threshold Light/After the Rain 1/detail4.jpg"
"A002","North Window 1","Weather Rooms","2022","Acrylic and graphite on panel","24","30","Portrait","1120","Available","architecture|memory|light|studio|weather-rooms","A layered contemporary artwork from the Weather Rooms series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Weather Rooms/North Window 1/main.jpg","images/series/Weather Rooms/North Window 1/detail1.jpg","images/series/Weather Rooms/North Window 1/detail2.jpg","images/series/Weather Rooms/North Window 1/detail3.jpg","images/series/Weather Rooms/North Window 1/detail4.jpg"
"A003","Blue Landing 1","Quiet Streets","2023","Watercolor on cotton paper","27","35","Portrait","1255","Available","architecture|memory|light|studio|quiet-streets","A layered contemporary artwork from the Quiet Streets series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Quiet Streets/Blue Landing 1/main.jpg","images/series/Quiet Streets/Blue Landing 1/detail1.jpg","images/series/Quiet Streets/Blue Landing 1/detail2.jpg","images/series/Quiet Streets/Blue Landing 1/detail3.jpg","images/series/Quiet Streets/Blue Landing 1/detail4.jpg"
"A004","Room with Two Chairs 1","Paper Architecture","2024","Mixed media on canvas","30","40","Portrait","1390","Available","architecture|memory|light|studio|paper-architecture","A layered contemporary artwork from the Paper Architecture series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Paper Architecture/Room with Two Chairs 1/main.jpg","images/series/Paper Architecture/Room with Two Chairs 1/detail1.jpg","images/series/Paper Architecture/Room with Two Chairs 1/detail2.jpg","images/series/Paper Architecture/Room with Two Chairs 1/detail3.jpg","images/series/Paper Architecture/Room with Two Chairs 1/detail4.jpg"
"A005","Pale Stair 1","Night Garden","2025","Ink and gouache on paper","33","45","Portrait","1525","Reserved","architecture|memory|light|studio|night-garden","A layered contemporary artwork from the Night Garden series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Night Garden/Pale Stair 1/main.jpg","images/series/Night Garden/Pale Stair 1/detail1.jpg","images/series/Night Garden/Pale Stair 1/detail2.jpg","images/series/Night Garden/Pale Stair 1/detail3.jpg","images/series/Night Garden/Pale Stair 1/detail4.jpg"
"A006","Late Facade 2","Threshold Light","2026","Oil on linen","36","50","Portrait","1660","Available","architecture|memory|light|studio|threshold-light","A layered contemporary artwork from the Threshold Light series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Threshold Light/Late Facade 2/main.jpg","images/series/Threshold Light/Late Facade 2/detail1.jpg","images/series/Threshold Light/Late Facade 2/detail2.jpg","images/series/Threshold Light/Late Facade 2/detail3.jpg","images/series/Threshold Light/Late Facade 2/detail4.jpg"
"A007","Borrowed Light 2","Weather Rooms","2021","Acrylic and graphite on panel","39","55","Portrait","1795","Sold","architecture|memory|light|studio|weather-rooms","A layered contemporary artwork from the Weather Rooms series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Weather Rooms/Borrowed Light 2/main.jpg","images/series/Weather Rooms/Borrowed Light 2/detail1.jpg","images/series/Weather Rooms/Borrowed Light 2/detail2.jpg","images/series/Weather Rooms/Borrowed Light 2/detail3.jpg","images/series/Weather Rooms/Borrowed Light 2/detail4.jpg"
"A008","Quiet Corner 2","Quiet Streets","2022","Watercolor on cotton paper","42","60","Portrait","1930","Available","architecture|memory|light|studio|quiet-streets","A layered contemporary artwork from the Quiet Streets series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Quiet Streets/Quiet Corner 2/main.jpg","images/series/Quiet Streets/Quiet Corner 2/detail1.jpg","images/series/Quiet Streets/Quiet Corner 2/detail2.jpg","images/series/Quiet Streets/Quiet Corner 2/detail3.jpg","images/series/Quiet Streets/Quiet Corner 2/detail4.jpg"
"A009","Small Weather 2","Paper Architecture","2023","Mixed media on canvas","45","65","Portrait","2065","Available","architecture|memory|light|studio|paper-architecture","A layered contemporary artwork from the Paper Architecture series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Paper Architecture/Small Weather 2/main.jpg","images/series/Paper Architecture/Small Weather 2/detail1.jpg","images/series/Paper Architecture/Small Weather 2/detail2.jpg","images/series/Paper Architecture/Small Weather 2/detail3.jpg","images/series/Paper Architecture/Small Weather 2/detail4.jpg"
"A010","Open Threshold 2","Night Garden","2024","Ink and gouache on paper","48","22","Landscape","2200","Reserved","architecture|memory|light|studio|night-garden","A layered contemporary artwork from the Night Garden series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Night Garden/Open Threshold 2/main.jpg","images/series/Night Garden/Open Threshold 2/detail1.jpg","images/series/Night Garden/Open Threshold 2/detail2.jpg","images/series/Night Garden/Open Threshold 2/detail3.jpg","images/series/Night Garden/Open Threshold 2/detail4.jpg"
"A011","Soft Map 3","Threshold Light","2025","Oil on linen","51","27","Landscape","2335","Available","architecture|memory|light|studio|threshold-light","A layered contemporary artwork from the Threshold Light series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Threshold Light/Soft Map 3/main.jpg","images/series/Threshold Light/Soft Map 3/detail1.jpg","images/series/Threshold Light/Soft Map 3/detail2.jpg","images/series/Threshold Light/Soft Map 3/detail3.jpg","images/series/Threshold Light/Soft Map 3/detail4.jpg"
"A012","Garden Wall 3","Weather Rooms","2026","Acrylic and graphite on panel","54","32","Landscape","2470","Available","architecture|memory|light|studio|weather-rooms","A layered contemporary artwork from the Weather Rooms series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Weather Rooms/Garden Wall 3/main.jpg","images/series/Weather Rooms/Garden Wall 3/detail1.jpg","images/series/Weather Rooms/Garden Wall 3/detail2.jpg","images/series/Weather Rooms/Garden Wall 3/detail3.jpg","images/series/Weather Rooms/Garden Wall 3/detail4.jpg"
"A013","After the Rain 3","Quiet Streets","2021","Watercolor on cotton paper","57","37","Landscape","2605","Available","architecture|memory|light|studio|quiet-streets","A layered contemporary artwork from the Quiet Streets series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Quiet Streets/After the Rain 3/main.jpg","images/series/Quiet Streets/After the Rain 3/detail1.jpg","images/series/Quiet Streets/After the Rain 3/detail2.jpg","images/series/Quiet Streets/After the Rain 3/detail3.jpg","images/series/Quiet Streets/After the Rain 3/detail4.jpg"
"A014","North Window 3","Paper Architecture","2022","Mixed media on canvas","18","42","Portrait","2740","Sold","architecture|memory|light|studio|paper-architecture","A layered contemporary artwork from the Paper Architecture series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Paper Architecture/North Window 3/main.jpg","images/series/Paper Architecture/North Window 3/detail1.jpg","images/series/Paper Architecture/North Window 3/detail2.jpg","images/series/Paper Architecture/North Window 3/detail3.jpg","images/series/Paper Architecture/North Window 3/detail4.jpg"
"A015","Blue Landing 3","Night Garden","2023","Ink and gouache on paper","21","47","Portrait","2875","Reserved","architecture|memory|light|studio|night-garden","A layered contemporary artwork from the Night Garden series, balancing observed structure with atmosphere, erasure, and quiet spatial tension.","images/series/Night Garden/Blue Landing 3/main.jpg","images/series/Night Garden/Blue Landing 3/detail1.jpg","images/series/Night Garden/Blue Landing 3/detail2.jpg","images/series/Night Garden/Blue Landing 3/detail3.jpg","images/series/Night Garden/Blue Landing 3/detail4.jpg"
